models=Random WayPoint	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	maps=squarereflect	height=500	width=500	maxspeed=10	rangealgorithms=NullPowerAlgorithm	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
50	7	150	247	6.93	5.71	0
50	8	106	113	7.59	3.71	0
50	9	386	194	6.74	0.05	0
51	0	118	338	5.45	4.29	0
51	1	86	230	6.37	5.09	0
51	2	87	493	8.24	2.83	0
51	3	314	146	6.17	3.82	0
51	4	355	395	5.19	4.13	0
51	5	74	447	8.36	2.01	0
51	6	146	351	5.79	1.65	0
51	7	156	243	6.93	5.71	0
51	8	108	119	6.3	1.29	0
51	9	393	194	6.74	0.05	0
52	0	115	333	5.45	4.29	0
52	1	89	224	6.37	5.09	0
52	2	79	495	8.24	2.83	0
52	3	309	142	6.17	3.82	0
52	4	352	391	5.19	4.13	0
52	5	74	447	8.36	2.01	0
52	6	145	353	5.79	1.65	0
52	7	162	239	6.93	5.71	0
52	8	109	125	6.3	1.29	0
52	9	399	195	6.74	0.05	0
53	0	113	328	5.45	4.29	0
53	1	91	218	6.37	5.09	0
53	2	71	498	8.24	2.83	0
53	3	304	138	6.17	3.82	0
53	4	349	387	5.19	4.13	0
53	5	74	447	8.36	2.01	0
53	6	145	353	5.79	1.65	0
53	7	168	235	6.93	5.71	0
53	8	111	131	6.3	1.29	0
53	9	406	195	6.74	0.05	0
54	0	111	323	5.45	4.29	0
54	1	93	212	6.37	5.09	0
54	2	65	499	8.24	2.83	0
54	3	300	135	6.17	3.82	0
54	4	346	382	5.19	4.13	0
54	5	79	441	8.14	5.29	0
54	6	145	353	5.79	1.65	0
54	7	174	232	6.93	5.71	0
54	8	113	137	6.3	1.29	0
54	9	413	196	6.74	0.05	0
55	0	109	318	5.45	4.29	0
55	1	96	206	6.37	5.09	0
55	2	65	499	8.24	2.83	0
55	3	295	131	6.17	3.82	0
55	4	343	378	5.19	4.13	0
55	5	83	434	8.14	5.29	0
55	6	147	349	5.11	5.08	0
55	7	180	228	6.93	5.71	0
55	8	115	143	6.3	1.29	0
55	9	419	196	6.74	0.05	0
56	0	106	313	5.45	4.29	0
56	1	98	200	6.37	5.09	0
56	2	65	499	8.24	2.83	0
56	3	290	127	6.17	3.82	0
56	4	341	374	5.19	4.13	0
56	5	88	427	8.14	5.29	0
56	6	149	344	5.11	5.08	0
56	7	185	224	6.93	5.71	0
56	8	116	149	6.3	1.29	0
56	9	426	196	6.74	0.05	0
57	0	104	308	5.45	4.29	0
57	1	100	194	6.37	5.09	0
57	2	65	499	8.24	2.83	0
57	3	285	123	6.17	3.82	0
57	4	338	369	5.19	4.13	0
57	5	92	420	8.14	5.29	0
57	6	151	339	5.11	5.08	0
57	7	190	221	6.93	5.71	0
57	8	118	155	6.3	1.29	0
57	9	433	197	6.74	0.05	0
58	0	102	303	5.45	4.29	0
58	1	103	188	6.37	5.09	0
58	2	65	499	8.24	2.83	0
58	3	280	119	6.17	3.82	0
58	4	335	365	5.19	4.13	0
58	5	96	413	8.14	5.29	0
58	6	153	334	5.11	5.08	0
58	7	190	221	6.93	5.71	0
58	8	120	161	6.3	1.29	0
58	9	440	197	6.74	0.05	0
59	0	100	298	5.45	4.29	0
59	1	105	182	6.37	5.09	0
59	2	69	490	9.76	5.07	0
59	3	276	115	6.17	3.82	0
59	4	332	361	5.19	4.13	0
59	5	101	406	8.14	5.29	0
59	6	155	329	5.11	5.08	0
59	7	190	221	6.93	5.71	0
59	8	122	167	6.3	1.29	0
59	9	446	197	6.74	0.05	0
60	0	97	293	5.45	4.29	0
60	1	107	176	6.37	5.09	0
60	2	72	481	9.76	5.07	0
60	3	271	111	6.17	3.82	0
60	4	329	356	5.19	4.13	0
60	5	105	399	8.14	5.29	0
60	6	156	325	5.11	5.08	0
60	7	190	221	6.93	5.71	0
60	8	123	173	6.3	1.29	0
60	9	447	197	6.74	0.05	0
61	0	95	288	5.45	4.29	0
61	1	110	171	6.37	5.09	0
61	2	75	472	9.76	5.07	0
61	3	266	107	6.17	3.82	0
61	4	326	352	5.19	4.13	0
61	5	110	393	8.14	5.29	0
